name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"2,236,530,000","1,568,476,000","1,022,843,000","958,102,000","789,042,000","785,368,000","712,969,000","635,977,000","563,994,000","544,753,000","474,371,000","434,459,000","385,994,000","331,478,000","288,195,000","254,344,000"
	OperatingRevenue,"2,236,530,000","1,568,476,000","1,022,843,000","958,102,000","789,042,000","785,368,000","712,969,000","635,977,000","563,994,000","544,753,000","474,371,000","434,459,000","385,994,000","331,478,000","288,195,000","254,344,000"
CostOfRevenue,"902,403,000","548,174,000","263,725,000","239,223,000","217,463,000","179,975,000","159,410,000","150,453,000","134,705,000","132,333,000","110,769,000","100,343,000","75,199,000","68,796,000","53,825,000","41,607,000"
GrossProfit,"1,334,127,000","1,020,302,000","759,118,000","718,879,000","571,579,000","605,393,000","553,559,000","485,524,000","429,289,000","412,420,000","363,602,000","334,116,000","310,795,000","262,682,000","234,370,000","212,737,000"
OperatingExpense,"1,165,570,000","818,452,000","522,867,000","524,021,000","456,107,000","428,639,000","376,675,000","319,405,000","270,166,000","248,114,000","220,510,000","209,388,000","196,788,000","163,850,000","143,898,000","128,943,000"
	SellingGeneralAndAdministration,"887,754,000","643,410,000","432,117,000","408,149,000","354,757,000","354,757,000","311,591,000","267,817,000","222,156,000","210,241,000","188,632,000","182,518,000","168,862,000","140,386,000","122,589,000","108,422,000"
	ResearchAndDevelopment,"176,547,000","124,010,000","73,015,000","97,346,000","84,519,000","60,073,000","55,496,000","43,679,000","44,532,000","36,312,000","31,166,000","26,870,000","27,926,000","23,464,000","21,309,000","20,521,000"
	DepreciationAmortizationDepletionIncomeStatement,"101,269,000","51,032,000","17,735,000","18,526,000","16,831,000","13,809,000","9,588,000","7,909,000","3,478,000","1,561,000","712,000",,,,,
		DepreciationAndAmortizationInIncomeStatement,"101,269,000","51,032,000","17,735,000","18,526,000","16,831,000","13,809,000","9,588,000","7,909,000","3,478,000","1,561,000","712,000",,,,,
			Amortization,"101,269,000","51,032,000","17,735,000","18,526,000","16,831,000","13,809,000","9,588,000","7,909,000","3,478,000","1,561,000","712,000",,,,,
