name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009
TotalAssets,"380,786,000","404,501,000","517,546,000","513,787,000","535,061,000","362,148,000","350,669,000","373,509,000","380,679,000","377,284,000","334,383,000","277,319,000","219,513,000","206,039,000","153,752,000","149,931,000"
	CurrentAssets,"225,957,000","226,562,000","279,317,000","259,683,000","218,789,000","252,468,000","242,023,000","255,577,000","253,642,000","267,697,000","248,358,000","198,340,000","166,339,000","160,467,000","110,525,000","100,360,000"
		CashCashEquivalentsAndShortTermInvestments,"77,303,000","46,595,000","88,436,000","65,470,000","58,894,000","132,874,000","122,901,000","116,527,000","97,681,000","112,292,000","59,215,000","9,603,000","4,922,000","13,953,000","6,509,000","776,000"
			CashAndCashEquivalents,"77,303,000","46,595,000","88,436,000","64,175,000","49,917,000","113,493,000","68,751,000","86,375,000","97,681,000","112,292,000","59,215,000","9,603,000","4,922,000","13,953,000","6,509,000","776,000"
				CashFinancial,"22,041,000","46,235,000","85,580,000","62,610,000","47,692,000","104,831,000",,,,,,,,,,
				CashEquivalents,"55,262,000","360,000","2,856,000","1,565,000","2,225,000","8,662,000",,,,,,,,,,
			OtherShortTermInvestments,,,"0","1,295,000","8,977,000","19,381,000","54,150,000","30,152,000","0",,,,,,,
		Receivables,"17,573,000","23,416,000","30,072,000","34,915,000","25,333,000","16,413,000","19,957,000","26,530,000","32,079,000","34,582,000","29,174,000","34,811,000","38,097,000","34,300,000","31,013,000","30,641,000"
			AccountsReceivable,"17,112,000","22,105,000","20,681,000","27,543,000","24,290,000","15,604,000","15,566,000","23,313,000","31,294,000","31,374,000","29,174,000","34,811,000","38,097,000","34,300,000","31,013,000","30,641,000"
				GrossAccountsReceivable,"18,212,000","22,905,000","21,881,000","28,643,000","24,790,000","15,904,000","16,466,000","23,913,000","31,794,000","31,674,000","29,474,000","35,511,000","38,697,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-1,100,000","-800,000","-1,200,000","-1,100,000","-500,000","-300,000","-900,000","-600,000","-500,000","-300,000","-300,000","-700,000","-600,000",,,
			TaxesReceivable,"461,000","1,311,000","9,391,000","7,372,000","1,043,000","809,000","4,391,000","3,217,000","785,000","3,208,000","0",,,,,
		Inventory,"118,278,000","142,275,000","144,881,000","141,416,000","123,606,000","91,581,000","87,838,000","102,283,000","113,590,000","98,403,000","136,923,000","131,562,000","106,967,000","96,717,000","66,535,000","64,475,000"
			RawMaterials,,,,"59,000","1,056,000","0",,"0","151,000","5,542,000","10,772,000","19,490,000","10,748,000","9,695,000","8,414,000","6,623,000"
			WorkInProcess,,,,,,,,,,"470,000","850,000","836,000","692,000","829,000","2,074,000","1,791,000"
			FinishedGoods,,,,"141,357,000","122,550,000","91,581,000","90,538,000","102,283,000","113,439,000","92,391,000","125,301,000","111,236,000","95,527,000","86,193,000","56,047,000","56,061,000"
			OtherInventories,,,,,,,"90,538,000","104,883,000",,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,"-600,000","-2,700,000","-2,600,000",,,,,,,,
		PrepaidAssets,,,"15,928,000","17,882,000","10,956,000","11,600,000","11,327,000","10,237,000","10,292,000","9,100,000","9,952,000","11,016,000","8,343,000",,,
		CurrentDeferredAssets,,,,,,,,,,"13,320,000","13,094,000","11,348,000","8,010,000","8,743,000","0",
			CurrentDeferredTaxesAssets,,,,,,,,,,"13,320,000","13,094,000","11,348,000","8,010,000","8,743,000","0",
		OtherCurrentAssets,"12,803,000","14,276,000","15,928,000","17,882,000","10,956,000","11,600,000","11,327,000","10,237,000","10,292,000","9,100,000","9,952,000","11,016,000","8,343,000","6,754,000","6,468,000","4,468,000"
	TotalNonCurrentAssets,"154,829,000","177,939,000","238,229,000","254,104,000","316,272,000","109,680,000","108,646,000","117,932,000","127,037,000","109,587,000","86,025,000","78,979,000","53,174,000","45,572,000","43,227,000","49,571,000"
