name,ttm,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012
TotalRevenue,"1,566,405,000","1,567,135,000","1,543,208,000","1,495,734,000","1,406,516,000","1,851,063,000","2,034,643,000","2,203,617,000","1,874,362,000","1,808,029,000","1,772,998,000","1,747,922,000","1,763,247,000","1,743,175,000"
	OperatingRevenue,"1,566,405,000","1,567,135,000","1,543,208,000","1,495,734,000","1,406,516,000","1,851,063,000","2,034,643,000","2,203,617,000","1,874,362,000","1,808,029,000","1,772,998,000","1,747,922,000","1,763,247,000","1,743,175,000"
CostOfRevenue,"1,213,057,000","1,210,359,000","1,193,769,000","1,152,902,000","1,176,173,000","1,408,514,000","1,506,917,000","1,646,384,000","1,415,301,000","1,353,330,000","1,329,425,000","1,311,157,000","1,358,631,000","1,348,737,000"
GrossProfit,"353,348,000","356,776,000","349,439,000","342,832,000","230,343,000","442,549,000","527,726,000","557,233,000","459,061,000","454,699,000","443,573,000","436,765,000","404,616,000","394,438,000"
OperatingExpense,"344,485,000","352,134,000","399,774,000","396,092,000","361,368,000","466,332,000","489,745,000","499,332,000","434,111,000","426,861,000","410,013,000","378,440,000","349,751,000","328,558,000"
	SellingGeneralAndAdministration,"301,121,000","311,574,000","357,611,000","353,968,000","316,164,000","404,472,000","423,880,000","433,746,000","380,793,000","374,171,000","359,504,000","330,426,000","302,902,000","283,215,000"
	DepreciationAmortizationDepletionIncomeStatement,"43,364,000","40,560,000","42,163,000","42,124,000","45,204,000","61,860,000","65,865,000","65,586,000","53,318,000","52,690,000","50,509,000","48,014,000","46,849,000","45,343,000"
		DepreciationAndAmortizationInIncomeStatement,"43,364,000","40,560,000","42,163,000","42,124,000","45,204,000","61,860,000","65,865,000","65,586,000","53,318,000","52,690,000","50,509,000","48,014,000","46,849,000","45,343,000"
OperatingIncome,"8,863,000","4,642,000","-50,335,000","-53,260,000","-131,025,000","-23,783,000","37,981,000","57,901,000","24,950,000","27,838,000","33,560,000","58,325,000","54,865,000","65,880,000"
NetNonOperatingInterestIncomeExpense,"-39,729,000","-40,365,000","-22,683,000","-10,096,000","-8,087,000","-7,445,000","-9,780,000","-10,306,000","-3,464,000","-1,872,000","-210,000","-385,000","-4,871,000","-5,684,000"
