name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"33,366,000,000","33,527,000,000","38,031,000,000","36,385,000,000","5,641,000,000","5,911,462,000","3,546,472,000","1,294,044,000","1,325,008,000","1,171,559,000","270,182,000"
	CurrentAssets,"2,045,000,000","2,102,000,000","5,964,000,000","6,063,000,000","605,000,000","573,196,000","251,032,000","101,753,000","116,179,000","117,493,000","39,429,000"
		CashCashEquivalentsAndShortTermInvestments,"1,005,000,000","1,038,000,000","1,070,000,000","1,776,000,000","206,000,000","247,709,000","152,227,000","61,029,000","78,278,000","87,604,000","29,813,000"
			CashAndCashEquivalents,"1,005,000,000","1,038,000,000","1,070,000,000","1,776,000,000","206,000,000","230,752,000","134,596,000","61,029,000","78,278,000","87,604,000","29,813,000"
			OtherShortTermInvestments,,,,,"34,634,000","16,957,000","17,631,000","0",,,
		Receivables,"608,000,000","611,000,000","472,000,000","386,000,000","58,000,000","76,227,000","50,845,000","14,694,000","9,981,000","7,474,000","3,670,000"
			AccountsReceivable,"608,000,000","611,000,000","472,000,000","342,000,000","54,000,000","60,169,000","45,797,000","14,694,000","9,981,000","7,112,000","3,240,000"
				GrossAccountsReceivable,"701,000,000","729,000,000","602,000,000","480,000,000","59,000,000","63,843,000","47,017,000","15,915,000","12,055,000","9,701,000","4,619,000"
				AllowanceForDoubtfulAccountsReceivable,"-93,000,000","-118,000,000","-130,000,000","-138,000,000","-5,000,000","-3,674,000","-1,220,000","-1,221,000","-2,074,000","-2,589,000","-1,379,000"
			TaxesReceivable,,,,,"0","15,731,000","4,805,000",,,,
			DuefromRelatedPartiesCurrent,,,"0","44,000,000","4,000,000","327,000","243,000","0",,"362,000","430,000"
			OtherReceivables,,,,,,,"0","0","0","362,000","0"
		Inventory,"46,000,000","59,000,000","42,000,000","44,000,000","18,000,000","20,595,000","16,870,000","11,055,000","11,742,000","7,234,000","3,109,000"
		PrepaidAssets,,,"290,000,000","253,000,000","66,000,000","48,002,000","27,823,000","69,000","10,907,000","9,447,000","2,532,000"
		RestrictedCash,"122,000,000","131,000,000","319,000,000","2,021,000,000","4,000,000","24,892,000","3,267,000","2,414,000","5,271,000","5,734,000","305,000"
		AssetsHeldForSaleCurrent,,"0","3,771,000,000","1,583,000,000","253,000,000","155,771,000","0","12,492,000",,,
		OtherCurrentAssets,"264,000,000","263,000,000","290,000,000",,,,"0","0","0","0","0"
	TotalNonCurrentAssets,"31,321,000,000","31,425,000,000","32,067,000,000","30,322,000,000","5,036,000,000","5,338,266,000","3,295,440,000","1,192,291,000","1,208,829,000","1,054,066,000","230,753,000"
		NetPPE,"14,756,000,000","14,598,000,000","15,263,000,000","15,192,000,000","2,803,000,000","2,900,486,000","1,520,886,000","626,561,000","642,636,000","473,464,000","181,248,000"
