name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
OperatingCashFlow,"890,820,000","848,122,000","545,639,000","110,179,000","-45,417,000","-176,558,000","-143,982,000"
	CashFlowFromContinuingOperatingActivities,"890,820,000","848,122,000","545,639,000","110,179,000","-45,417,000","-176,558,000","-143,982,000"
		NetIncomeFromContinuingOperations,"-1,020,192,000","-837,990,000","-797,526,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
		OperatingGainsLosses,,"-46,809,000","46,435,000","-27,621,000",,,
			GainLossOnInvestmentSecurities,,"-46,809,000","46,435,000","-27,621,000",,,
		DepreciationAmortizationDepletion,"152,788,000","119,903,000","63,535,000","21,498,000","9,826,000","3,522,000","1,362,000"
			DepreciationAndAmortization,"152,788,000","119,903,000","63,535,000","21,498,000","9,826,000","3,522,000","1,362,000"
		DeferredTax,"-13,819,000","-26,762,000","-26,664,000","-717,000","-30,000",,
			DeferredIncomeTax,"-13,819,000","-26,762,000","-26,664,000","-717,000","-30,000",,
		AmortizationOfSecurities,"-53,305,000","-61,525,000","3,497,000","48,002,000","8,630,000","-5,459,000","-5,011,000"
		UnrealizedGainLossOnInvestmentSecurities,,,"46,435,000","-27,621,000","0","0",
		StockBasedCompensation,"1,291,720,000","1,168,015,000","861,533,000","605,095,000","301,441,000","78,399,000","22,409,000"
		OtherNonCashItems,"144,328,000","142,574,000","105,303,000","75,443,000","66,926,000","46,174,000","9,067,000"
		ChangeInWorkingCapital,"406,011,000","390,716,000","289,526,000","68,427,000","106,892,000","49,341,000","6,219,000"
			ChangeInReceivables,"-29,734,000","-212,083,000","-166,965,000","-251,652,000","-116,289,000","-116,869,000","-51,421,000"
				ChangesInAccountReceivables,"-29,734,000","-212,083,000","-166,965,000","-251,652,000","-116,289,000","-116,869,000","-51,421,000"
			ChangeInPrepaidAssets,"46,226,000","59,795,000","-2,904,000","-159,159,000","-62,349,000","-10,811,000","-9,091,000"
			ChangeInPayablesAndAccruedExpense,"241,747,000","190,260,000","82,543,000","87,143,000","55,374,000","36,110,000","25,981,000"
