name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
OperatingCashFlow,"862,300,000","783,700,000","797,300,000","729,800,000","570,800,000","528,500,000","425,400,000","330,300,000","252,600,000","14,800,000"
	CashFlowFromContinuingOperatingActivities,"862,300,000","783,700,000","797,300,000","729,800,000","570,800,000","528,500,000","425,400,000","330,300,000","252,600,000","14,800,000"
		NetIncomeFromContinuingOperations,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
		OperatingGainsLosses,,"-155,200,000","170,200,000","17,700,000","-17,500,000",,,,,
			GainLossOnInvestmentSecurities,,"-155,200,000","175,200,000","17,700,000","-17,500,000",,,,,
			EarningsLossesFromEquityInvestments,,"0","-5,000,000","0","-17,500,000","0","0",,,
		DepreciationAmortizationDepletion,"148,600,000","170,000,000","157,100,000","151,400,000","159,300,000","173,500,000","166,800,000","181,800,000","191,600,000","149,600,000"
			DepreciationAndAmortization,"148,600,000","170,000,000","157,100,000","151,400,000","159,300,000","173,500,000","166,800,000","181,800,000","191,600,000","149,600,000"
				Depreciation,"120,300,000","139,700,000","140,900,000","135,700,000",,,,,,
				AmortizationCashFlow,"28,400,000","30,400,000","16,300,000","15,600,000",,,,,,
					AmortizationOfIntangibles,"28,400,000","30,400,000","16,300,000","15,600,000",,,,,,
		DeferredTax,"31,400,000","38,400,000","-396,300,000","-37,500,000",,,,,,
			DeferredIncomeTax,"31,400,000","38,400,000","-396,300,000","-37,500,000",,,,,,
		AssetImpairmentCharge,,,"175,200,000","31,300,000","398,200,000","0","0",,,
		StockBasedCompensation,"335,200,000","338,000,000","330,700,000","287,100,000","261,500,000","261,200,000","650,100,000","164,600,000","147,600,000","66,100,000"
		OtherNonCashItems,"31,000,000","57,600,000","106,700,000","76,000,000","22,400,000","1,500,000","10,200,000","14,300,000","4,800,000","1,400,000"
		ChangeInWorkingCapital,"-110,700,000","-118,700,000","-124,300,000","-100,700,000","3,200,000","145,000,000","83,200,000","81,300,000","118,800,000","123,600,000"
			ChangeInReceivables,"-6,900,000","-14,500,000","-5,500,000","-6,200,000","-5,500,000","-7,500,000","100,000","-14,400,000","1,000,000","-9,900,000"
			ChangeInPrepaidAssets,"-45,200,000","-41,100,000","-50,000,000","-58,400,000","-39,400,000","-18,200,000","-47,900,000","-18,200,000","0","-1,800,000"
			ChangeInPayablesAndAccruedExpense,"-15,600,000","-19,600,000","17,700,000","-21,000,000","-29,700,000","29,400,000","38,600,000","50,200,000","-6,900,000","30,900,000"
				ChangeInPayable,"-7,500,000","1,200,000","13,000,000","7,600,000","-19,900,000","6,400,000","-1,700,000","16,200,000","5,500,000","9,200,000"
					ChangeInAccountPayable,"-7,500,000","1,200,000","13,000,000","7,600,000","-19,900,000","6,400,000","-1,700,000","16,200,000","5,500,000","9,200,000"
				ChangeInAccruedExpense,"-8,100,000","-20,800,000","4,700,000","-28,600,000","-9,800,000","23,000,000","40,300,000","34,000,000","-12,400,000","21,700,000"
			ChangeInOtherCurrentAssets,"21,600,000","23,300,000","-9,700,000","11,700,000","61,400,000","60,600,000","-11,200,000","-10,600,000","-7,800,000","2,500,000"
			ChangeInOtherCurrentLiabilities,"-50,000,000","-66,900,000","-104,300,000","-115,200,000","-72,900,000","-62,400,000","12,200,000","-4,400,000","9,300,000","28,900,000"
			ChangeInOtherWorkingCapital,"-14,600,000","100,000","27,500,000","88,400,000","89,300,000","143,100,000","91,400,000","78,700,000","123,200,000","73,000,000"
