name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalRevenue,"2,533,800,000","2,501,600,000","2,324,900,000","2,157,900,000","1,913,900,000","1,661,300,000","1,391,700,000","1,106,800,000","844,800,000","603,800,000"
	OperatingRevenue,"2,533,800,000","2,501,600,000","2,324,900,000","2,157,900,000","1,913,900,000","1,661,300,000","1,391,700,000","1,106,800,000","844,800,000","603,800,000"
CostOfRevenue,"454,400,000","478,500,000","444,200,000","444,200,000","414,600,000","411,000,000","394,700,000","368,900,000","390,600,000","407,400,000"
GrossProfit,"2,079,400,000","2,023,100,000","1,880,700,000","1,713,700,000","1,499,300,000","1,250,300,000","997,000,000","737,900,000","454,200,000","196,400,000"
OperatingExpense,"1,568,200,000","1,639,600,000","1,524,200,000","1,408,000,000","1,378,100,000","1,330,800,000","1,491,000,000","851,600,000","647,700,000","502,600,000"
	SellingGeneralAndAdministration,"683,500,000","703,100,000","632,300,000","652,100,000","650,600,000","668,700,000","722,800,000","471,300,000","358,000,000","301,000,000"
		GeneralAndAdministrativeExpense,"236,300,000","237,100,000","222,900,000","224,600,000","227,800,000","245,400,000","283,200,000","157,300,000","107,400,000","107,900,000"
			OtherGandA,"236,300,000","237,100,000","222,900,000","224,600,000","227,800,000","245,400,000","283,200,000","157,300,000","107,400,000","107,900,000"
		SellingAndMarketingExpense,"447,200,000","466,000,000","409,400,000","427,500,000","422,800,000","423,300,000","439,600,000","314,000,000","250,600,000","193,100,000"
	ResearchAndDevelopment,"884,700,000","936,500,000","891,900,000","755,900,000","727,500,000","662,100,000","768,200,000","380,300,000","289,700,000","201,600,000"
OperatingIncome,"511,200,000","383,500,000","356,500,000","305,700,000","121,200,000","-80,500,000","-494,000,000","-113,700,000","-193,500,000","-306,200,000"
NetNonOperatingInterestIncomeExpense,"23,800,000","19,400,000","3,300,000","-5,200,000","1,700,000","12,500,000","7,100,000","-11,000,000","-16,400,000","-15,200,000"
	TotalOtherFinanceCost,,"-19,400,000","-3,300,000","5,200,000","-1,700,000","-12,500,000","-7,100,000","11,000,000","16,400,000","15,200,000"
